,ItemID,Sentiment,SentimentText
46,47,0,  @Spiral_galaxy @YMPtweet  it really makes me sad when i look at Muslims reality now
43,44,1,"  ... Do I need to even say it?  Do I?  Well, here I go anyways:  CHRIS CORNELL IN CHICAGO!  ... TONIGHT!    "
101,102,0,  not a cool night.
37,38,0,   times by like a million
38,39,1,   uploading pictures on friendster 
125,126,0, - Why must people be so picky. I mean 6 hours work and no dice!? what�s up with that! http://tumblr.com/xsg1m3ufn
103,104,1,  pleased
71,72,0,  I think I may be too friendly...lol... o well...
65,66,0, - I love you guys so much that it hurts. http://tumblr.com/xkh1z19us
149,150,0, (tears) :'-( Today is the last day with my kids...They go on summer break at their Dads tomorrow. *sighs* http://plurk.com/p/x8j86
40,41,0,  &amp;&amp;Fightiin Wiit The Babes...
5,6,0,         or i just worry too much?        
131,132,0, #3turnoffwords this shit sucks
57,58,1,  go give ur mom a hug right now. http://bit.ly/azFwv
30,31,0,   I hate it when any athlete appears to tear an ACL on live television.
148,149,0," &quot;well, the truth is I miss you so&quot;- Coldplay"
132,133,0, #asylm J2 panel is over. Guess it's back to normal life.
22,23,1,    You're the only one who can see this cause no one else is following me this is for you because you're pretty awesome
29,30,0,   I didn't realize it was THAT deep. Geez give a girl a warning atleast!
50,51,0,  baddest day eveer. 
140,141,0," &quot; Vandals paint swastikas on home of author of gay, lesbian church story : Naples Daily News&quot; ( http://bit.ly/11zyzl )"
64,65,1,  I hate allergies. Should I get my hair cut tomorrow? I'm taking a public poll...
108,109,0, - sannesias: Aww no neighbor! We need to watch Mean Girls :] http://tumblr.com/xv31s2pi8
27,28,0,"   Feeeling like shit right now. I really want to sleep, but nooo I have 3 hours of dancing and an art assignment to finish. "
82,83,0,"  i would be so much happier if the walls of my bedroom were painted white,"
6,7,1,       Juuuuuuuuuuuuuuuuussssst Chillin!!
102,103,1,  oh thank you!
62,63,1,  I bend backwards  
146,147,1, &quot;The truth is hiding in your eyes&quot; @patita @MissMarian  Paramore � Decode @Daninho502  ? http://blip.fm/~5ytke
58,59,1,  Going To See Harry Sunday Happiness 
144,145,0, &quot;I want you so bad it's driving me  mad&quot;
78,79,0,  I wanted to sleep in this morning but a mean kid through a popsicle stick at me head. I wish I could fly away like those squirrels
123,124,0,  where is my picture i feel naked 
114,115,1,  There's going to be a Heathers sequel.  Winona4ever!  They better not fuck it up.
90,91,0,  jonas day is almost over... 
52,53,1,  boom boom pow
111,112,0,  Thanks for your definition of throwbie!  Editors reviewed your entry and have decided to not publish it.
72,73,0,  I think Manuel (my Basil plant) only has days to live   
33,34,0,   My horsie is moving on Saturday morning.
110,111,0,  sorry @gigi4462 The Ex Husband has overdosed on his daily dose of haterade
136,137,0, #twenty20
95,96,0,  mi momacita won't let me go to my bf's bball game!!! grrr!!!
55,56,0,  David must be hospitalized for five days end of July (palatine tonsils). I will probably never see Katie in concert. 
3,4,0,          .. Omgaga. Im sooo  im gunna CRy. I've been at this dentist since 11.. I was suposed 2 just get a crown put on (30mins)...
0,1,0,                     is so sad for my APL friend.............
130,131,0,  you'll always be my one and only...  [12*23*2007]
20,21,0,    Very sad about Iran.
61,62,1,#NAME?
117,118,1,"  True, highly subjective of me there. Tombre was actually my favorite character in the book. You got me  - http://is.gd/13be0 - Rishabh"
59,60,0,  Hand quilting it is then...
45,46,1,  @ginaaa &lt;3 GO TO THE SHOW TONIGHT
32,33,0,  -- Meet your Meat http://bit.ly/15SSCI
31,32,0,   i miss you guys too     i think i'm wearing skinny jeans a cute sweater and heels   not really sure   what are you doing today
